event_id,event_type,location,user_id,ticket_purchased
1,Theater,San Francisco,figueroascott,0
2,Concert,Los Angeles,iwoods,0
3,Theater,Chicago,elizabethcarter,0
4,Conference,Chicago,hhawkins,1
5,Concert,San Francisco,lrodriguez,0
6,Conference,Chicago,rodriguezlaurie,0
7,Conference,San Francisco,jaclyn66,0
8,Conference,Chicago,monicacross,1
9,Concert,Chicago,sharon25,1
10,Conference,Chicago,bking,0
11,Concert,Chicago,brownmark,0
12,Concert,San Francisco,whansen,0
13,Conference,Chicago,steven35,1
14,Concert,Los Angeles,josephgarrison,0
15,Concert,New York,mhernandez,1
16,Conference,Los Angeles,natalie67,1
17,Concert,Chicago,williamgallegos,1
18,Concert,New York,jenniferbutler,0
19,Theater,Chicago,sarah29,1
20,Concert,San Francisco,seanwade,0
21,Theater,Chicago,obrown,1
22,Concert,Los Angeles,joseph57,1
23,Concert,Chicago,mary86,0
24,Theater,San Francisco,kristina74,0
25,Theater,San Francisco,johnpeck,1
26,Theater,Los Angeles,moorediane,1
27,Conference,Los Angeles,harrellsharon,1
28,Theater,San Francisco,brandondrake,0
29,Conference,Los Angeles,kimberlyholt,1
30,Concert,New York,bethray,1
31,Theater,Chicago,vevans,1
32,Theater,Los Angeles,vhawkins,0
33,Theater,Chicago,eringamble,0
34,Concert,San Francisco,dbishop,0
35,Concert,New York,anita02,1
36,Theater,San Francisco,lauren11,0
37,Theater,San Francisco,nichole74,1
38,Concert,New York,wendywest,0
39,Concert,New York,jcox,1
40,Conference,New York,dianaperry,1
41,Theater,San Francisco,martinezdavid,0
42,Conference,Los Angeles,murrayjoshua,0
43,Conference,New York,chase73,0
44,Conference,San Francisco,nicholas63,0
45,Conference,San Francisco,mitchellstephanie,0
46,Concert,New York,rita48,1
47,Conference,San Francisco,michael48,0
48,Concert,Chicago,robinbarry,0
49,Conference,Los Angeles,helensimmons,0
50,Concert,New York,ywhite,0
51,Conference,Chicago,eanderson,0
52,Concert,San Francisco,ashley46,0
53,Theater,Los Angeles,frankandrews,0
54,Concert,Los Angeles,brianna59,0
55,Theater,New York,jonesthomas,0
56,Conference,San Francisco,brownnicholas,0
57,Concert,San Francisco,barbaradiaz,1
58,Concert,Chicago,zpetersen,0
59,Theater,Chicago,phampton,0
60,Conference,Los Angeles,dawnbarnes,1
61,Theater,Los Angeles,hernandezashley,1
62,Conference,Los Angeles,dawnjordan,0
63,Concert,Los Angeles,molly10,1
64,Concert,New York,xlane,0
65,Theater,San Francisco,tracey17,0
66,Conference,San Francisco,renee42,1
67,Conference,Los Angeles,wardshannon,1
68,Concert,San Francisco,spencerlaura,1
69,Concert,New York,umoore,0
70,Conference,Chicago,nicole48,0
71,Theater,New York,amanda71,1
72,Theater,San Francisco,lucas11,1
73,Concert,San Francisco,elliskaren,1
74,Theater,Los Angeles,vlarsen,1
75,Theater,Chicago,michaelparker,0
76,Conference,Los Angeles,richard54,0
77,Conference,New York,hcook,0
78,Concert,San Francisco,zimmermanjeffrey,1
79,Concert,New York,owensgregg,0
80,Theater,Chicago,leahestrada,0
81,Theater,San Francisco,richardreid,1
82,Conference,San Francisco,jessicayoung,1
83,Theater,Chicago,ealexander,0
84,Conference,New York,nmoore,0
85,Concert,Los Angeles,hbrown,1
86,Concert,Chicago,carla79,0
87,Concert,Chicago,douglasbell,1
88,Concert,Chicago,vcraig,1
89,Theater,San Francisco,patrickhamilton,0
90,Theater,San Francisco,nthomas,0
91,Concert,San Francisco,handrade,1
92,Theater,Chicago,amandahenry,1
93,Concert,Chicago,bwilliams,0
94,Conference,New York,karenbass,1
95,Concert,New York,cartermary,1
96,Conference,Los Angeles,watsonerica,1
97,Conference,New York,qhammond,1
98,Theater,New York,troycole,0
99,Conference,New York,david89,1
100,Conference,Los Angeles,morrisonchase,0
101,Theater,San Francisco,jaredpugh,0
102,Theater,Chicago,leestacy,1
103,Theater,Chicago,roacheileen,1
104,Concert,Los Angeles,marciabird,1
105,Conference,Los Angeles,woodscasey,0
106,Theater,New York,omarclark,0
107,Conference,Chicago,kathleenwilliams,0
108,Concert,San Francisco,vgordon,1
109,Concert,San Francisco,jeremy38,0
110,Theater,San Francisco,jeffrey58,1
111,Concert,New York,darryl19,1
112,Conference,New York,baustin,0
113,Conference,Chicago,david65,1
114,Concert,San Francisco,harrismelissa,1
115,Theater,San Francisco,carrolldylan,0
116,Conference,New York,stephanietaylor,0
117,Conference,San Francisco,amoreno,0
118,Theater,Los Angeles,christinerandall,0
119,Concert,Chicago,gking,0
120,Conference,New York,hbrown,0
121,Concert,Chicago,rodriguezkenneth,0
122,Theater,Chicago,fmoses,0
123,Theater,New York,randerson,1
124,Concert,Los Angeles,wangcharles,0
125,Theater,San Francisco,travis87,0
126,Theater,Los Angeles,ambermcbride,0
127,Theater,Chicago,riveraapril,0
128,Theater,San Francisco,adamsjimmy,0
129,Theater,Los Angeles,nscott,0
130,Concert,Los Angeles,ihernandez,0
131,Concert,New York,sharon55,0
132,Concert,Chicago,toddbennett,1
133,Conference,Chicago,martinjeremy,0
134,Concert,Chicago,wbrown,1
135,Theater,Los Angeles,benjamin60,1
136,Conference,Chicago,sbailey,1
137,Conference,Chicago,robert48,0
138,Concert,San Francisco,branchpamela,1
139,Concert,San Francisco,shannongomez,0
140,Theater,Los Angeles,ylopez,1
141,Conference,San Francisco,alex70,0
142,Concert,Chicago,uramirez,0
143,Concert,New York,lovesheila,1
144,Conference,Chicago,erica47,0
145,Theater,Los Angeles,smedina,0
146,Theater,Los Angeles,judy50,0
147,Theater,New York,harristerri,1
148,Theater,New York,rlogan,0
149,Theater,New York,schmidttracy,0
150,Theater,Chicago,whitejay,1
151,Theater,Chicago,brittanylove,0
152,Conference,New York,ronaldlopez,1
153,Theater,San Francisco,vmccarthy,0
154,Theater,San Francisco,terri54,1
155,Theater,Los Angeles,xlamb,1
156,Concert,Chicago,stevendavis,0
157,Theater,San Francisco,barnettdavid,0
158,Concert,Los Angeles,conniewilson,1
159,Theater,Chicago,taylorangela,0
160,Conference,Los Angeles,barbarajohnson,0
161,Concert,Chicago,jfoley,0
162,Concert,San Francisco,andreapowell,1
163,Theater,Chicago,qwalker,0
164,Concert,Chicago,brittany44,1
165,Theater,New York,twilson,0
166,Conference,New York,roywhite,0
167,Concert,Chicago,deborahsavage,1
168,Conference,Los Angeles,danielrobinson,0
169,Concert,Los Angeles,vickie71,0
170,Conference,Chicago,anthony81,0
171,Theater,Chicago,marcosmith,0
172,Concert,Chicago,carol74,1
173,Concert,Chicago,williamsjames,1
174,Conference,Los Angeles,brian15,0
175,Concert,New York,vcummings,0
176,Theater,Los Angeles,paulmarshall,0
177,Conference,Chicago,brittanymorrison,0
178,Concert,New York,jmassey,0
179,Concert,San Francisco,pclark,0
180,Theater,New York,wwilson,1
181,Theater,San Francisco,chunggregg,1
182,Concert,Los Angeles,alexandermoore,1
183,Theater,Chicago,griffithbrian,0
184,Conference,Los Angeles,jennifer75,0
185,Conference,Chicago,asolomon,0
186,Theater,Chicago,michael00,0
187,Concert,San Francisco,grahamdennis,0
188,Theater,Los Angeles,thomas47,1
189,Concert,San Francisco,morrisrebecca,0
190,Concert,Los Angeles,dustin78,1
191,Theater,Chicago,wilsonjeremy,1
192,Theater,Los Angeles,david24,1
193,Theater,New York,dana65,1
194,Concert,Los Angeles,zbaker,1
195,Concert,New York,annecook,1
196,Conference,Los Angeles,swilliams,0
197,Concert,San Francisco,rhonda78,1
198,Concert,New York,wgutierrez,0
199,Conference,Chicago,stephanie59,0
200,Theater,San Francisco,alejandro49,0
201,Concert,Los Angeles,tammydavis,1
202,Concert,San Francisco,wbell,0
203,Concert,New York,lindseypeterson,0
204,Concert,Chicago,rhodeskaren,1
205,Concert,Chicago,kevin58,0
206,Conference,San Francisco,kosborn,0
207,Theater,New York,matthewadams,0
208,Theater,Chicago,jaygray,0
209,Theater,New York,pbond,1
210,Conference,New York,kayladelgado,0
211,Concert,San Francisco,zkelley,0
212,Theater,New York,angela58,1
213,Concert,San Francisco,kimberlysaunders,0
214,Conference,San Francisco,tracyshaffer,1
215,Concert,San Francisco,gonzalezgwendolyn,0
216,Concert,San Francisco,robertsontodd,0
217,Theater,San Francisco,zachary33,1
218,Conference,Los Angeles,bross,1
219,Concert,New York,christinajohnson,0
220,Theater,New York,megan10,0
221,Concert,New York,snowgregory,0
222,Concert,New York,joshua29,1
223,Concert,San Francisco,johnmiller,1
224,Theater,Los Angeles,amartinez,1
225,Conference,Chicago,maldonadomatthew,1
226,Concert,New York,amy54,0
227,Conference,New York,kadams,0
228,Conference,Chicago,harringtonmichael,0
229,Conference,New York,stephen86,0
230,Theater,New York,nicholasphillips,0
231,Conference,Los Angeles,jsmall,1
232,Conference,Chicago,kathrynhorton,0
233,Theater,San Francisco,burchmonique,0
234,Conference,New York,voneill,0
235,Theater,New York,huffmanjennifer,1
236,Theater,Los Angeles,kiddantonio,0
237,Theater,San Francisco,wallacelauren,1
238,Conference,New York,tuckeramanda,1
239,Conference,Chicago,masonchris,0
240,Conference,New York,lori26,1
241,Concert,Chicago,mjones,0
242,Concert,Chicago,madelinecox,0
243,Concert,Los Angeles,joshua86,1
244,Conference,Chicago,ivargas,1
245,Concert,Los Angeles,millslaura,1
246,Conference,Chicago,zjohnson,0
247,Conference,Los Angeles,scole,1
248,Conference,Chicago,obautista,0
249,Concert,San Francisco,diane65,1
250,Concert,San Francisco,joneschad,0
251,Theater,Los Angeles,josephkeller,0
252,Concert,Chicago,adamfrazier,0
253,Theater,San Francisco,gonzalezlisa,1
254,Concert,San Francisco,susan99,0
255,Conference,San Francisco,davislauren,0
256,Conference,Chicago,ppeterson,0
257,Concert,San Francisco,zachary12,0
258,Concert,San Francisco,srichards,1
259,Concert,Chicago,randywilson,0
260,Theater,Chicago,fowlerjames,1
261,Conference,Chicago,carlos59,0
262,Concert,Los Angeles,petersonchristopher,1
263,Conference,Chicago,brittany11,0
264,Theater,Chicago,ashley71,1
265,Conference,San Francisco,riveramercedes,1
266,Conference,San Francisco,lukevang,1
267,Theater,New York,sandra46,1
268,Conference,Los Angeles,ginanelson,0
269,Theater,New York,thomasjames,1
270,Theater,San Francisco,scottjessica,1
271,Theater,Chicago,tdalton,1
272,Conference,Chicago,bartonbrandon,1
273,Theater,Los Angeles,david31,1
274,Conference,Los Angeles,steve72,1
275,Concert,San Francisco,kristinmurphy,0
276,Theater,San Francisco,jacobcampbell,0
277,Conference,Chicago,taylorelizabeth,1
278,Theater,New York,justin52,0
279,Concert,New York,kwright,0
280,Concert,Chicago,martinezvirginia,0
281,Concert,New York,kyleball,0
282,Conference,Los Angeles,kimcook,0
283,Concert,Chicago,waltersashley,1
284,Concert,Chicago,jeanette04,0
285,Concert,San Francisco,robert15,0
286,Concert,Los Angeles,reginaldwilkinson,1
287,Concert,San Francisco,wellszachary,1
288,Conference,New York,wrangel,1
289,Conference,San Francisco,simsemily,1
290,Theater,Los Angeles,melissa42,1
291,Conference,Los Angeles,susanstevenson,1
292,Theater,San Francisco,christophermontoya,0
293,Conference,New York,teresa70,1
294,Theater,Chicago,ericrogers,1
295,Concert,Chicago,christinabutler,1
296,Conference,Chicago,jeremywinters,1
297,Theater,San Francisco,colemantravis,1
298,Concert,Los Angeles,leejonathan,1
299,Conference,San Francisco,qnguyen,1
300,Conference,San Francisco,danielle17,0
301,Conference,Los Angeles,vancekyle,0
302,Theater,San Francisco,nichole25,1
303,Theater,San Francisco,johnathan18,1
304,Theater,Chicago,edward89,0
305,Concert,Chicago,castromatthew,0
306,Concert,Los Angeles,castroanthony,0
307,Conference,New York,xsullivan,0
308,Theater,New York,david22,1
309,Conference,San Francisco,vwhitaker,1
310,Conference,Chicago,austinadams,0
311,Concert,New York,lmartin,1
312,Concert,Chicago,angelamoody,1
313,Theater,Chicago,jessicaparks,0
314,Conference,Los Angeles,walshkiara,0
315,Theater,Los Angeles,reillyzachary,0
316,Conference,Chicago,zallen,1
317,Theater,San Francisco,robertsonrachel,0
318,Theater,Los Angeles,rushjason,0
